spine_num,title,director,release_year
311,Sword of the Beast,Hideo Gosha,1965
312,Samurai Spy,Masahiro Shinoda,1965
415,The Naked Prey,Cornel Wilde,1965
420,Le bonheur,Agnès Varda,1965
421,Pierrot le fou,Jean-Luc Godard,1965
452,The Spy Who Came in from the Cold,Martin Ritt,1965
460,Simon of the Desert,Luis Buñuel,1965
483,Repulsion,Roman Polanski,1965
595,The Moment of Truth,Francesco Rosi,1965
801,I Knew Her Well,Antonio Pietrangeli,1965
34,Andrei Rublev,Andrei Tarkovsky,1966
39,Tokyo Drifter,Seijun Suzuki,1966
131,Closely Watched Trains,Jiří Menzel,1966
207,The Pornographers,Shohei Imamura,1966
249,The Battle of Algiers,Gillo Pontecorvo,1966
269,Fighting Elegy,Seijun Suzuki,1966
279,Young Törless,Volker Schlöndorff,1966
280,The Sword of Doom,Kihachi Okamoto,1966
297,Au Hasard Balthazar,Robert Bresson,1966
308,Masculin féminin,Jean-Luc Godard,1966
395,The Face of Another,Hiroshi Teshigahara,1966
433,Patriotism,Domoto Masaki & Yukio Mishima,1966
448,Le deuxième souffle,Jean-Pierre Melville,1966
456,The Taking of Power by Louis XIV,Roberto Rossellini,1966
481,Made in U.S.A,Jean-Luc Godard,1966
577,Cul-de-sac,Roman Polanski,1966
667,Seconds,John Frankenheimer,1966
701,Persona,Ingmar Bergman,1966
734,The Shooting,Monte Hellman,1966
735,Ride in the Whirlwind,Monte Hellman,1966
766,Here Is Your Life,Jan Troell,1966
830,Chimes at Midnight,Orson Welles,1966
852,Black Girl,Ousmane Sembène,1966
865,Blow-Up,Michelangelo Antonioni,1966
878,Law of the Border,Lüfti Ö. Akad,1966
911,The Hero,Satyajit Ray,1966
38,Branded to Kill,Seijun Suzuki,1967
112,Playtime,Jacques Tati,1967
145,The Firemen's Ball,Miloš Forman,1967
168,Monterey Pop,D. A. Pennebaker,1967
180,I Am Curious (Yellow),Vilgot Sjöman,1967
181,I Am Curious (Blue),Vilgot Sjöman,1967
306,Le Samouraï,Jean-Pierre Melville,1967
310,Samurai Rebellion,Masaki Kobayashi,1967
346,La collectionneuse,Éric Rohmer,1967
363,Mouchette,Robert Bresson,1967
388,The Two of Us,Claude Berri,1967
482,2 or 3 Things I Know About Her,Jean-Luc Godard,1967
593,Belle de jour,Luis Buñuel,1967
635,Weekend,Jean-Luc Godard,1967
661,Marketa Lazarová,František Vláčil,1967
717,The Young Girls of Rochefort,Jacques Demy,1967
781,In Cold Blood,Richard Brooks,1967
787,Dont Look Back,D. A. Pennebaker,1967
800,The Graduate,Mike Nichols,1967
835,Valley of the Dolls,Mark Robson,1967
892,Festival,Murray Lerner,1967
937,Dragon Inn,King Hu,1967
959,In the Heat of the Night,Norman Jewison,1967
122,Salesman,David Maysles & Albert Maysles & Charlotte Zwerin,1968
186,Stolen Kisses,François Truffaut,1968
252,Faces,John Cassavetes,1968
313,Kill!,Kihachi Okamoto,1968
360,Symbiopsychotaxiplasm: Two Takes,William Greaves,1968
391,If....,Lindsay Anderson,1968
534,L'enfance nue,Maurice Pialat,1968
544,Head,Bob Rafelson,1968
584,Kuroneko,Kaneto Shindo,1968
630,Rosemary's Baby,Roman Polanski,1968
798,Death by Hanging,Nagisa Oshima,1968
831,The Immortal Story,Orson Welles,1968
909,Night of the Living Dead,George A. Romero,1968
943,Memories of Underdevelopment,Tomás Gutiérrez Alea,1968
961,Shame,Ingmar Bergman,1968
1013,Teorema,Pier Paolo Pasolini,1968
1045,Lucía,Humberto Solás,1968
104,Double Suicide,Masahiro Shinoda,1969
345,My Night at Maud's,Éric Rohmer,1969
385,Army of Shadows,Jean-Pierre Melville,1969
402,The Milky Way,Luis Buñuel,1969
491,Z,Costa Gavras,1969
494,Downhill Racer,Michael Ritchie,1969
506,Dillinger Is Dead,Marco Ferreri,1969
545,Easy Rider,Dennis Hopper,1969
561,Kes,Ken Loach,1969
658,Medium Cool,Haskell Wexler,1969
747,Fellini Satyricon,Federico Fellini,1969
916,Women in Love,Ken Russell,1969
918,The Color of Pomegranates,Sergei Parajanov,1969
925,Midnight Cowboy,John Schlesinger,1969
1023,The Cremator,Juraj Herz,1969
99,Gimme Shelter,Albert Maysles & David Maysles & Charlotte Zwerin,1970
187,Bed and Board,François Truffaut,1970
200,The Honeymoon Killers,Leonard Kastle,1970
218,Le cercle rouge,Jean-Pierre Melville,1970
338,Equinox,Jack Woods,1970
347,Claire's Knee,Éric Rohmer,1970
465,Dodes'ka-den,Akira Kurosawa,1970
546,Five Easy Pieces,Bob Rafelson,1970
682,Investigation of a Citizen Above Suspicion,Elio Petri,1970
718,Donkey Skin,Jacques Demy,1970
759,The Confession,Costa Gavras,1970
761,Valerie and Her Week of Wonders,Jaromil Jireš,1970
836,Beyond the Valley of the Dolls,Russ Meyer,1970
863,Multiple Maniacs,John Waters,1970
914,Baal,Volker Schlöndorff,1970
965,Wanda,Barbara Loden,1970
1029,Husbands,John Cassavetes,1970
1049,Soleil Ô,Med Hondo,1970
10,Walkabout,Nicolas Roeg,1971
182,Straw Dogs,Sam Peckinpah,1971
389,W.R.: Mysteries of the Organism,Dušan Makavejev,1971
414,Two-Lane Blacktop,Monte Hellman,1971
438,Mon oncle Antoine,Claude Jutra,1971
439,Trafic,Jacques Tati,1971
547,Drive@ He Said,Jack Nicholson,1971
548,A Safe Place,Henry Jaglom,1971
549,The Last Picture Show,Peter Bogdanovich,1971
608,Harold and Maude,Hal Ashby,1971
629,Sunday Bloody Sunday,John Schlesinger,1971
632,The Decameron,Pier Paolo Pasolini,1971
726,Macbeth,Roman Polanski,1971
758,The Merchant of Four Seasons,Rainer Werner Fassbinder,1971
796,The Emigrants,Jan Troell,1971
825,A Touch of Zen,King Hu,1971
827,McCabe & Mrs. Miller,Robert Altman,1971
962,Death in Venice,Luchino Visconti,1971
987,Klute,Alan J. Pakula,1971
101,Cries and Whispers,Ingmar Bergman,1972
102,The Discreet Charm of the Bourgeoisie,Luis Buñuel,1972
132,The Ruling Class,Peter Medak,1972
164,Solaris,Andrei Tarkovsky,1972
275,Tout va bien,Jean-Luc Godard & Jean-Pierre Gorin,1972
328,Murmur of the Heart,Louis Malle,1972
348,Love in the Afternoon,Éric Rohmer,1972
550,The King of Marvin Gardens,Bob Rafelson,1972
633,The Canterbury Tales,Pier Paolo Pasolini,1972
740,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,1972
760,State of Siege,Costa Gavras,1972
797,The New Land,Jan Troell,1972
848,Roma,Federico Fellini,1972
946,Eight Hours Don't Make a Day,Rainer Werner Fassbinder,1972
1050,Downpour,Bahram Bayzai,1972
27,Flesh for Frankenstein,Paul Morrissey,1973
83,The Harder They Come,Perry Henzell,1973
89,Sisters,Brian De Palma,1973
223,Maîtresse,Barbet Schroeder,1973
229,Scenes from a Marriage,Ingmar Bergman,1973
351,The Spirit of the Beehive,Víctor Erice,1973
475,The Friends of Eddie Coyle,Peter Yates,1973
598,World On a Wire,Rainer Werner Fassbinder,1973
651,Badlands,Terrence Malick,1973
685,Touki Bouki,Djibril Diop Mambéty,1973
687,A River Called Titas,Ritwik Ghatak,1973
745,Don't Look Now,Nicolas Roeg,1973
769,Day for Night,François Truffaut,1973
791,Lady Snowblood,Toshiya Fujita,1973
820,Fantastic Planet,René Laloux,1973
4,Amarcord,Federico Fellini,1974
28,Blood for Dracula,Paul Morrissey,1974
59,The Night Porter,Liliana Cavani,1974
153,General Idi Amin Dada: A Self Portrait,Barbet Schroeder,1974
156,Hearts and Minds,Peter Davis,1974
198,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,1974
253,A Woman Under the Influence,John Cassavetes,1974
290,The Phantom of Liberty,Luis Buñuel,1974
329,Lacombe@ Lucien,Louis Malle,1974
390,Sweet Movie,Dušan Makavejev,1974
634,Arabian Nights,Pier Paolo Pasolini,1974
731,Parade,Jacques Tati,1974
782,Lady Snowblood: Love Song of Vengeance,Toshiya Fujita,1974
805,A Poem Is a Naked Person,Les Blank,1974
